# FLQ实验记录 - flq_4bit_federated_learning
# 时间: 2025-09-17 18:58:32
# 配置: workers=10, rounds=50, epochs=1, lr=0.001
# 格式: round, global_acc, global_loss, avg_train_acc, avg_train_loss, comm_bits, comm_workers, comm_rate
--------------------------------------------------------------------------------
  0, 0.1200, 2.3015, 0.9018, 0.7366,        0,  0, 0.000
  1, 0.1090, 2.3040, 0.9008, 0.7370,        0,  0, 0.000
  2, 0.1195, 2.3035, 0.9007, 0.7385,        0,  0, 0.000
  3, 0.1090, 2.3056, 0.9012, 0.7357,        0,  0, 0.000
  4, 0.1130, 2.3005, 0.9007, 0.7387,        0,  0, 0.000
  5, 0.1145, 2.3041, 0.9010, 0.7388,        0,  0, 0.000
  6, 0.1180, 2.3014, 0.9013, 0.7388,        0,  0, 0.000
  7, 0.1065, 2.3039, 0.8995, 0.7393,        0,  0, 0.000
  8, 0.1190, 2.2999, 0.9015, 0.7363,        0,  0, 0.000
  9, 0.1140, 2.3007, 0.9002, 0.7385,        0,  0, 0.000
 10, 0.1140, 2.3016, 0.9002, 0.7352,        0,  0, 0.000
 11, 0.1040, 2.3061, 0.8987, 0.7433,        0,  0, 0.000
 12, 0.1125, 2.3024, 0.8996, 0.7400,        0,  0, 0.000
 13, 0.1135, 2.3024, 0.9010, 0.7404,        0,  0, 0.000
 14, 0.1095, 2.3044, 0.9006, 0.7368,        0,  0, 0.000
 15, 0.1150, 2.3034, 0.8998, 0.7369,        0,  0, 0.000
 16, 0.1150, 2.3009, 0.9022, 0.7328,        0,  0, 0.000
 17, 0.1120, 2.3030, 0.9002, 0.7385,        0,  0, 0.000
 18, 0.1180, 2.3007, 0.9015, 0.7352,        0,  0, 0.000
 19, 0.1170, 2.3026, 0.9018, 0.7368,        0,  0, 0.000
 20, 0.1070, 2.3055, 0.9004, 0.7353,        0,  0, 0.000
 21, 0.1045, 2.3048, 0.9016, 0.7365,        0,  0, 0.000
 22, 0.1235, 2.3002, 0.9018, 0.7349,        0,  0, 0.000
 23, 0.1165, 2.3024, 0.8988, 0.7445,        0,  0, 0.000
 24, 0.1090, 2.3046, 0.9007, 0.7363,        0,  0, 0.000
 25, 0.0955, 2.3068, 0.9002, 0.7391,        0,  0, 0.000
 26, 0.1060, 2.3046, 0.9002, 0.7375,        0,  0, 0.000
 27, 0.1045, 2.3032, 0.9004, 0.7394,        0,  0, 0.000
 28, 0.1180, 2.2998, 0.9010, 0.7379,        0,  0, 0.000
 29, 0.0980, 2.3063, 0.8996, 0.7416,        0,  0, 0.000
 30, 0.1050, 2.3058, 0.9001, 0.7392,        0,  0, 0.000
 31, 0.1120, 2.3033, 0.8995, 0.7431,        0,  0, 0.000
 32, 0.1200, 2.2990, 0.8999, 0.7419,        0,  0, 0.000
 33, 0.1100, 2.3034, 0.9012, 0.7392,        0,  0, 0.000
 34, 0.1160, 2.3009, 0.9013, 0.7385,        0,  0, 0.000
 35, 0.1125, 2.3040, 0.8999, 0.7397,        0,  0, 0.000
 36, 0.1175, 2.3021, 0.8989, 0.7412,        0,  0, 0.000
 37, 0.1185, 2.3053, 0.9023, 0.7353,        0,  0, 0.000
 38, 0.1140, 2.3013, 0.9001, 0.7405,        0,  0, 0.000
 39, 0.1065, 2.3022, 0.9000, 0.7385,        0,  0, 0.000
 40, 0.1220, 2.2998, 0.9019, 0.7370,        0,  0, 0.000
 41, 0.1105, 2.3044, 0.9017, 0.7354,        0,  0, 0.000
 42, 0.1135, 2.3026, 0.9023, 0.7373,        0,  0, 0.000
 43, 0.0965, 2.3062, 0.9003, 0.7384,        0,  0, 0.000
 44, 0.1115, 2.3005, 0.9023, 0.7345,        0,  0, 0.000
 45, 0.1240, 2.3021, 0.9000, 0.7384,        0,  0, 0.000
 46, 0.1120, 2.3023, 0.9001, 0.7404,        0,  0, 0.000
 47, 0.1180, 2.3024, 0.9008, 0.7371,        0,  0, 0.000
 48, 0.1150, 2.3030, 0.9014, 0.7347,        0,  0, 0.000
 49, 0.1035, 2.3054, 0.8996, 0.7383,        0,  0, 0.000
