# FLQ实验记录 - flq_int8_federated_learning
# 时间: 2025-09-17 18:42:18
# 配置: workers=10, rounds=50, epochs=1, lr=0.001
# 格式: round, global_acc, global_loss, avg_train_acc, avg_train_loss, comm_bits, comm_workers, comm_rate
--------------------------------------------------------------------------------
  0, 0.0830, 2.3059, 0.9297, 0.9092, 24034080, 10, 1.000
  1, 0.0845, 2.3074, 0.9300, 0.9067,        0,  0, 0.000
  2, 0.0865, 2.3071, 0.9309, 0.9076,        0,  0, 0.000
  3, 0.0920, 2.3055, 0.9321, 0.9039,        0,  0, 0.000
  4, 0.0965, 2.3062, 0.9301, 0.9083,        0,  0, 0.000
  5, 0.0985, 2.3057, 0.9296, 0.9088,        0,  0, 0.000
  6, 0.0965, 2.3059, 0.9306, 0.9057,        0,  0, 0.000
  7, 0.0935, 2.3076, 0.9301, 0.9133,        0,  0, 0.000
  8, 0.0945, 2.3046, 0.9291, 0.9148,        0,  0, 0.000
  9, 0.0840, 2.3075, 0.9295, 0.9144,        0,  0, 0.000
 10, 0.0800, 2.3077, 0.9300, 0.9117,        0,  0, 0.000
 11, 0.0805, 2.3086, 0.9303, 0.9112,        0,  0, 0.000
 12, 0.0960, 2.3069, 0.9322, 0.9074,        0,  0, 0.000
 13, 0.0960, 2.3048, 0.9306, 0.9131,        0,  0, 0.000
 14, 0.0925, 2.3068, 0.9278, 0.9176,        0,  0, 0.000
 15, 0.0925, 2.3071, 0.9308, 0.9091,        0,  0, 0.000
 16, 0.0900, 2.3079, 0.9303, 0.9092,        0,  0, 0.000
 17, 0.0895, 2.3048, 0.9296, 0.9095,        0,  0, 0.000
 18, 0.0885, 2.3086, 0.9304, 0.9072,        0,  0, 0.000
 19, 0.0860, 2.3085, 0.9300, 0.9059,        0,  0, 0.000
 20, 0.0925, 2.3058, 0.9303, 0.9160,        0,  0, 0.000
 21, 0.0855, 2.3049, 0.9303, 0.9148,        0,  0, 0.000
