# FLQ实验记录 - flq_off_federated_learning
# 时间: 2025-09-17 18:08:55
# 配置: workers=10, rounds=50, epochs=1, lr=0.001
# 格式: round, global_acc, global_loss, avg_train_acc, avg_train_loss, comm_bits, comm_workers, comm_rate
--------------------------------------------------------------------------------
  0, 0.0960, 2.3062, 0.9485, 0.6128, 96136320, 10, 1.000
  1, 0.1015, 2.3045, 0.9494, 0.6099, 96136320, 10, 1.000
  2, 0.1000, 2.3069, 0.9501, 0.6087, 96136320, 10, 1.000
  3, 0.1000, 2.3028, 0.9502, 0.6109, 96136320, 10, 1.000
  4, 0.0915, 2.3086, 0.9499, 0.6106, 96136320, 10, 1.000
  5, 0.0965, 2.3077, 0.9492, 0.6094, 96136320, 10, 1.000
  6, 0.0945, 2.3049, 0.9496, 0.6131, 96136320, 10, 1.000
  7, 0.0925, 2.3061, 0.9496, 0.6099, 96136320, 10, 1.000
  8, 0.0905, 2.3057, 0.9483, 0.6118, 96136320, 10, 1.000
  9, 0.1025, 2.3041, 0.9480, 0.6140, 96136320, 10, 1.000
 10, 0.1050, 2.3041, 0.9492, 0.6112, 96136320, 10, 1.000
 11, 0.1100, 2.3034, 0.9499, 0.6096, 96136320, 10, 1.000
 12, 0.0925, 2.3075, 0.9491, 0.6114, 96136320, 10, 1.000
 13, 0.0980, 2.3080, 0.9494, 0.6122, 96136320, 10, 1.000
 14, 0.0965, 2.3076, 0.9482, 0.6130, 96136320, 10, 1.000
 15, 0.0940, 2.3077, 0.9493, 0.6093, 96136320, 10, 1.000
 16, 0.1040, 2.3038, 0.9496, 0.6102, 96136320, 10, 1.000
 17, 0.1035, 2.3045, 0.9499, 0.6120, 96136320, 10, 1.000
 18, 0.1040, 2.3017, 0.9499, 0.6093, 96136320, 10, 1.000
 19, 0.0965, 2.3069, 0.9477, 0.6138, 96136320, 10, 1.000
 20, 0.0950, 2.3068, 0.9496, 0.6061, 96136320, 10, 1.000
 21, 0.0955, 2.3050, 0.9495, 0.6112, 96136320, 10, 1.000
 22, 0.0920, 2.3106, 0.9487, 0.6111, 96136320, 10, 1.000
 23, 0.1045, 2.3053, 0.9493, 0.6137, 96136320, 10, 1.000
 24, 0.1085, 2.3042, 0.9497, 0.6070, 96136320, 10, 1.000
 25, 0.1010, 2.3049, 0.9495, 0.6115, 96136320, 10, 1.000
 26, 0.0940, 2.3061, 0.9498, 0.6085, 96136320, 10, 1.000
 27, 0.1010, 2.3061, 0.9491, 0.6129, 96136320, 10, 1.000
 28, 0.1045, 2.3032, 0.9495, 0.6109, 96136320, 10, 1.000
 29, 0.0900, 2.3068, 0.9499, 0.6088, 96136320, 10, 1.000
 30, 0.1030, 2.3056, 0.9496, 0.6106, 96136320, 10, 1.000
 31, 0.0985, 2.3062, 0.9497, 0.6108, 96136320, 10, 1.000
 32, 0.1045, 2.3005, 0.9483, 0.6124, 96136320, 10, 1.000
 33, 0.1150, 2.3033, 0.9498, 0.6118, 96136320, 10, 1.000
 34, 0.0910, 2.3077, 0.9492, 0.6132, 96136320, 10, 1.000
 35, 0.0880, 2.3090, 0.9484, 0.6103, 96136320, 10, 1.000
 36, 0.0995, 2.3058, 0.9496, 0.6086, 96136320, 10, 1.000
 37, 0.1005, 2.3053, 0.9495, 0.6116, 96136320, 10, 1.000
 38, 0.0980, 2.3079, 0.9497, 0.6105, 96136320, 10, 1.000
 39, 0.1020, 2.3070, 0.9485, 0.6108, 96136320, 10, 1.000
 40, 0.1040, 2.3045, 0.9488, 0.6103, 96136320, 10, 1.000
 41, 0.1000, 2.3053, 0.9505, 0.6072, 96136320, 10, 1.000
 42, 0.1035, 2.3055, 0.9495, 0.6113, 96136320, 10, 1.000
 43, 0.0955, 2.3043, 0.9491, 0.6072, 96136320, 10, 1.000
 44, 0.1005, 2.3061, 0.9501, 0.6107, 96136320, 10, 1.000
 45, 0.0915, 2.3066, 0.9490, 0.6146, 96136320, 10, 1.000
 46, 0.1035, 2.3059, 0.9490, 0.6109, 96136320, 10, 1.000
 47, 0.0990, 2.3035, 0.9496, 0.6071, 96136320, 10, 1.000
 48, 0.1060, 2.3061, 0.9492, 0.6085, 96136320, 10, 1.000
 49, 0.0970, 2.3065, 0.9491, 0.6064, 96136320, 10, 1.000
