# FLQ实验记录 - flq_sign1_federated_learning
# 时间: 2025-09-17 18:25:35
# 配置: workers=10, rounds=50, epochs=1, lr=0.001
# 格式: round, global_acc, global_loss, avg_train_acc, avg_train_loss, comm_bits, comm_workers, comm_rate
--------------------------------------------------------------------------------
  0, 0.1125, 2.3006, 0.9129, 0.8437,        0,  0, 0.000
  1, 0.1040, 2.3009, 0.9103, 0.8433,        0,  0, 0.000
  2, 0.1105, 2.3037, 0.9100, 0.8505,        0,  0, 0.000
  3, 0.1055, 2.3014, 0.9105, 0.8539,        0,  0, 0.000
  4, 0.1075, 2.3033, 0.9100, 0.8493,        0,  0, 0.000
  5, 0.0970, 2.3027, 0.9111, 0.8486,        0,  0, 0.000
  6, 0.1085, 2.3017, 0.9104, 0.8457,        0,  0, 0.000
  7, 0.1030, 2.3009, 0.9112, 0.8465,        0,  0, 0.000
  8, 0.1025, 2.3013, 0.9103, 0.8450,        0,  0, 0.000
  9, 0.1070, 2.3022, 0.9113, 0.8475,        0,  0, 0.000
 10, 0.1050, 2.3002, 0.9099, 0.8453,        0,  0, 0.000
 11, 0.1090, 2.3026, 0.9099, 0.8481,        0,  0, 0.000
 12, 0.1190, 2.2994, 0.9101, 0.8520,        0,  0, 0.000
 13, 0.1045, 2.3022, 0.9096, 0.8498,        0,  0, 0.000
 14, 0.1100, 2.3012, 0.9098, 0.8508,        0,  0, 0.000
 15, 0.1015, 2.3027, 0.9109, 0.8480,        0,  0, 0.000
 16, 0.1080, 2.3019, 0.9107, 0.8486,        0,  0, 0.000
 17, 0.1050, 2.3039, 0.9107, 0.8506,        0,  0, 0.000
 18, 0.1035, 2.3023, 0.9116, 0.8430,        0,  0, 0.000
 19, 0.0945, 2.3034, 0.9105, 0.8446,        0,  0, 0.000
 20, 0.1150, 2.3013, 0.9099, 0.8499,        0,  0, 0.000
 21, 0.0995, 2.3014, 0.9098, 0.8455,        0,  0, 0.000
 22, 0.1005, 2.3009, 0.9086, 0.8534,        0,  0, 0.000
 23, 0.1100, 2.3012, 0.9105, 0.8454,        0,  0, 0.000
 24, 0.1085, 2.3018, 0.9101, 0.8492,        0,  0, 0.000
 25, 0.1010, 2.3035, 0.9099, 0.8477,        0,  0, 0.000
 26, 0.1020, 2.3012, 0.9106, 0.8486,        0,  0, 0.000
 27, 0.1055, 2.3044, 0.9093, 0.8509,        0,  0, 0.000
 28, 0.1195, 2.3029, 0.9090, 0.8482,        0,  0, 0.000
 29, 0.1090, 2.3037, 0.9100, 0.8458,        0,  0, 0.000
 30, 0.1080, 2.3017, 0.9092, 0.8496,        0,  0, 0.000
 31, 0.1070, 2.2994, 0.9104, 0.8521,        0,  0, 0.000
 32, 0.1000, 2.3017, 0.9096, 0.8495,        0,  0, 0.000
 33, 0.1195, 2.2987, 0.9121, 0.8443,        0,  0, 0.000
 34, 0.0990, 2.3028, 0.9107, 0.8473,        0,  0, 0.000
 35, 0.1135, 2.3014, 0.9120, 0.8471,        0,  0, 0.000
 36, 0.1030, 2.3017, 0.9099, 0.8466,        0,  0, 0.000
 37, 0.1110, 2.3007, 0.9102, 0.8469,        0,  0, 0.000
 38, 0.1010, 2.3033, 0.9100, 0.8455,        0,  0, 0.000
 39, 0.1195, 2.2998, 0.9097, 0.8510,        0,  0, 0.000
 40, 0.0930, 2.3036, 0.9107, 0.8448,        0,  0, 0.000
 41, 0.0990, 2.3013, 0.9099, 0.8515,        0,  0, 0.000
 42, 0.1095, 2.3027, 0.9085, 0.8503,        0,  0, 0.000
 43, 0.1060, 2.3062, 0.9116, 0.8457,        0,  0, 0.000
 44, 0.1025, 2.3005, 0.9100, 0.8506,        0,  0, 0.000
 45, 0.1100, 2.3032, 0.9095, 0.8503,        0,  0, 0.000
 46, 0.1075, 2.3042, 0.9095, 0.8504,        0,  0, 0.000
 47, 0.1015, 2.3026, 0.9089, 0.8493,        0,  0, 0.000
 48, 0.1110, 2.3024, 0.9117, 0.8469,        0,  0, 0.000
 49, 0.1170, 2.3047, 0.9109, 0.8449,        0,  0, 0.000
